experiment,exp3_baseline_comparison,,,,,,,,,,,,,,,,,,,
type,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,precision,,,,map,,,,ndcg,,,,recall_1,,,,success,,,
bert,1,5,10,100,1,5,10,100,1,5,10,100,1,5,10,100,1,5,10,100
anthropic-haiku3.5-1300,0.0000,0.1398,0.0699,0.0070,0.0000,0.3145,0.3145,0.3145,0.0000,0.4028,0.4028,0.4028,0.0000,0.6344,0.6344,0.6344,0.0000,0.6684,0.6684,0.6684
anthropic-haiku3.5-2000,0.0000,0.1450,0.0725,0.0073,0.0000,0.3255,0.3255,0.3255,0.0000,0.4196,0.4196,0.4196,0.0000,0.6634,0.6634,0.6634,0.0000,0.7086,0.7086,0.7086
anthropic-haiku3.5-700,0.0000,0.1396,0.0698,0.0070,0.0000,0.3110,0.3110,0.3110,0.0000,0.4033,0.4033,0.4033,0.0000,0.6336,0.6336,0.6336,0.0000,0.6887,0.6887,0.6887
anthropic-sonnet4-1300,0.0000,0.1582,0.0791,0.0079,0.0000,0.2980,0.2980,0.2980,0.0000,0.3892,0.3892,0.3892,0.0000,0.5961,0.5961,0.5961,0.0000,0.6939,0.6939,0.6939
anthropic-sonnet4-2000,0.0000,0.1820,0.0910,0.0091,0.0000,0.3236,0.3236,0.3236,0.0000,0.4260,0.4260,0.4260,0.0000,0.6433,0.6433,0.6433,0.0000,0.7767,0.7767,0.7767
anthropic-sonnet4-700,0.0000,0.1664,0.0832,0.0083,0.0000,0.3138,0.3138,0.3138,0.0000,0.4134,0.4134,0.4134,0.0000,0.6371,0.6371,0.6371,0.0000,0.7477,0.7477,0.7477
xai-grok4-1300,0.0051,0.1449,0.0724,0.0072,0.0051,0.3035,0.3035,0.3035,0.0051,0.3964,0.3964,0.3964,0.0051,0.6071,0.6071,0.6071,0.0051,0.7041,0.7041,0.7041
xai-grok4-2000,0.0033,0.1517,0.0758,0.0076,0.0033,0.3165,0.3165,0.3165,0.0033,0.4160,0.4160,0.4160,0.0033,0.6490,0.6490,0.6490,0.0033,0.7450,0.7450,0.7450
xai-grok4-700,0.0000,0.1528,0.0764,0.0076,0.0000,0.3146,0.3146,0.3146,0.0000,0.4165,0.4165,0.4165,0.0000,0.6399,0.6399,0.6399,0.0000,0.7642,0.7642,0.7642
baseline-SemEval-15-res-1300,0.2000,0.1584,0.0792,0.0079,0.1827,0.4031,0.4031,0.4031,0.2000,0.4654,0.4654,0.4654,0.1827,0.6160,0.6160,0.6160,0.2000,0.6640,0.6640,0.6640
baseline-SemEval-16-res-2000,0.1290,0.0785,0.0392,0.0039,0.1116,0.2130,0.2130,0.2130,0.1290,0.2502,0.2502,0.2502,0.1116,0.3257,0.3257,0.3257,0.1290,0.3763,0.3763,0.3763
,,,,,,,,,,,,,,,,,,,,
btm,1,5,10,100,1,5,10,100,1,5,10,100,1,5,10,100,1,5,10,100
anthropic-sonnet4-1300,0.0000,0.1735,0.0913,0.0091,0.0000,0.3098,0.3163,0.3163,0.0000,0.4136,0.4260,0.4260,0.0000,0.6560,0.6888,0.6888,0.0000,0.7571,0.7806,0.7806
anthropic-sonnet4-2000,0.0000,0.1981,0.1017,0.0102,0.0000,0.3385,0.3418,0.3418,0.0000,0.4537,0.4592,0.4592,0.0000,0.7082,0.7217,0.7217,0.0000,0.8433,0.8533,0.8533
